service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,0,0,20251227,20260417
28,0,0,0,0,0,0,0,20251227,20260417
39,0,0,0,0,0,0,0,20251227,20260417
40,0,0,0,0,0,0,0,20251227,20260417
41,0,0,0,0,0,0,0,20251227,20260417
42,0,0,0,0,0,0,0,20251227,20260417
24,0,0,0,0,0,0,0,20251227,20260417
25,0,0,0,0,0,0,0,20251227,20260417
26,0,0,0,0,0,0,0,20251227,20260417
27,0,0,0,0,0,0,0,20251227,20260417
29,0,0,0,0,0,0,0,20251227,20260417
43,0,0,0,0,0,0,0,20251227,20260417
2,0,0,0,0,0,0,0,20251227,20260417
3,0,0,0,0,0,1,0,20251227,20260417
4,0,0,0,0,0,0,1,20251227,20260417
5,1,1,1,1,1,0,0,20251227,20260417
21,0,0,0,0,0,0,0,20251227,20260417
33,0,0,0,0,0,0,0,20251227,20260417
34,0,0,0,0,0,0,0,20251227,20260417
